OD;AUTOR;UO;NUMERO;CODACAO;NOMEACAO;SUBACAO;GD;MA;MUNICIPIO;OBJETO;VALOR;EMALTERACAO;INSTRUMENTO
O;Dep. Renato Antunes;Fundo Estadual de Saúde - FES-PE - Administração Direta;1154;4611;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Complementar;EN2N;33;50;Recife;Realizar ações de melhoria na saúde da população, através da fundação Altino Ventura inscrita no CNPJ: 10.667.814/0001-38;50000,0;SIM;
O;Dep. Renato Antunes;Fundo Estadual de Saúde - FES-PE - Administração Direta;60032;4611;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Complementar;ENNQ;33;50;Recife;Destina-se à melhoria no atendimento de procedimentos de média e alta complexidade pelo Grupo de Ajuda a Criança Carente com Câncer – GAC/PE, inscrito no CNPJ: 02.024.876/0001-01.;200000,0;SIM;
O;Dep. Waldemar Borges;Fundo Estadual de Saúde - FES-PE - Administração Direta;10078;4611;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Complementar;EN77;33;50;Pesqueira;A presente emenda será destinada para o PODE - Portadores de Direitos Especiais - CNPJ 06.698.790/0001-07, no valor de R$ 160.000,00 (cento e sessenta mil reais) para custear a manutenção e realização de serviços de reabilitação junto às crianças portadoras de deficiência do Município de Pesqueira e Região.;50000,0;SIM;
O;Dep. Waldemar Borges;Fundo Estadual de Saúde - FES-PE - Administração Direta;40046;4611;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Complementar;ENGS;33;50;Catende;A presente emenda, no valor de R$ 60.000,00 (sessenta mil reais ) será destinada a entidade INSTITUTO REVIVER BRASIL - CNPJ 08.720.669/0001-60, localizado na Cidade de Catende, e que realiza ações em Cidades do Estado de Pernambuco, para desenvolver atividades e atendimentos e serviços oftalmológicos a pacientes oriundos dos SUS, agindo de forma preventiva, ostensiva e assim atingir a diminuição de sequelas as doenças oftalmológicas, para a saúde das mulheres e seus familiares.;60000,0;SIM;
O;Dep. Waldemar Borges;Fundo Estadual de Saúde - FES-PE - Administração Direta;30156;4611;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Complementar;ENCU;33;50;Catende;A presente emenda, no valor de R$ 90.000,00 (noventa ) será destinada a entidade INSTITUTO REVIVER BRASIL - CNPJ 08.720.669/0001-60, localizado na Cidade de Catende, e que realiza ações em Cidades do Estado de Pernambuco, para desenvolver atividades e atendimentos e serviços oftalmológicos a pacientes oriundos dos SUS, agindo de forma preventiva, ostensiva e assim atingir a diminuição de sequelas as doenças oftalmológicas, para a saúde das mulheres e seus familiares.;90000,0;SIM;
O;Dep. Waldemar Borges;Fundo Estadual de Saúde - FES-PE - Administração Direta;10078;4611;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Complementar;EN77;33;50;Pesqueira;A presente emenda será destinada para o PODE - Portadores de Direitos Especiais - CNPJ 06.698.790/0001-07, no valor de R$ 160.000,00 (cento e sessenta mil reais) para custear a manutenção e realização de serviços de reabilitação junto às crianças portadoras de deficiência do Município de Pesqueira e Região.;110000,0;SIM;
O;Dep. Waldemar Borges;Fundo Estadual de Saúde - FES-PE - Administração Direta;80022;4611;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Complementar;;33;50;Catende; A presente emenda, no valor de R$ 270.000,00 (duzentos e setenta  mil reais ) será destinada a entidade INSTITUTO DE APOIO A SAÚDE, EDUCAÇÃO E ESPORTES DE PERNAMBUCO - IASEE/PE - CNPJ 07.145./0001-20, localizado na Cidade de Jaboatão dos Guararapes - PE, e que realiza ações em Cidades do Estado de Pernambuco, para desenvolvendo atividades de atendimentos e serviços oftalmológicos a pacientes oriundos dos SUS, agindo de forma preventiva, corretiva, ostensiva e assim atingir a diminuição de sequelas as doenças oftalmológicas, para a saúde das mulheres e seus familiares. ;270000,0;SIM;
D;Dep. Delegada Gleide Ângelo;Fundo Estadual de Saúde - FES-PE - Administração Direta;80093;4611;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Complementar;;33;50;Goiana;A presente emenda tem por finalidade a realização de atividade de saúde integrativa e de bem estar para a população em situação de vulnerabilidade social do município de Goiana   por meio da instituição ASSOCIAÇÃO DE DESENVOLVIMENTO E ASSISTÊNCIA SOCIAL DO CONDADO, com CNPJ nº 07.654.308/0001-08;200000,0;SIM;
D;Dep. Delegada Gleide Ângelo;Fundo Estadual de Saúde - FES-PE - Administração Direta;80095;4611;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Complementar;;33;50;Recife;A presente emenda tem por finalidade custear  serviços de atendimento à saúde integrativa para população em situação de vulnerabilidade social por meio da instituição INSTITUTO DE GERENCIAMENTO DE CIDADES - IGC , com CNPJ nº 10.620.066/0001-38. ;200000,0;SIM;
D;Dep. Eriberto Filho;Fundo Estadual de Saúde - FES-PE - Administração Direta;80084;4611;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Complementar;;33;50;Jaboatão dos Guararapes;Alocar recursos financeiros no valor de R$ 100.000,00 (cem mil reais), para o INSTITUTO BENEFICENTE DE SAÚDE RENASCER, com CNPJ: 09.122.182/0001-48 visando a melhoria na qualidade do atendimento à população carente do Município de Jaboatão dos Guararapes.;100000,0;SIM;
D;Dep. Eriberto Filho;Fundo Estadual de Saúde - FES-PE - Administração Direta;80099;4611;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Complementar;;33;50;Jaboatão dos Guararapes;Alocar recursos financeiros no valor de R$ 60.000,00 (sessenta mil reais), para o INSTITUTO BENEFICENTE DE SAÚDE RENASCER, com CNPJ: 09.122.182/0001-48 visando a melhoria na qualidade do atendimento à população carente do Município de Jaboatão dos Guararapes.;60000,0;SIM;
D;Dep. Jeferson Timóteo;Fundo Estadual de Saúde - FES-PE - Administração Direta;80066;4611;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Complementar;;33;50;Camaragibe;O recurso deverá ser utilizado no atendimento terapêutico e personalizado de Crianças Atípicas, mediante o oferecimento de sessões de equoterapia e terapias complementares, através da CASA DA COMUNIDADE CAMARA RICARDO PEDROSA, CNPJ nº 53.257.821/0001-74.;200000,0;SIM;
D;Dep. Joaquim Lira;Fundo Estadual de Saúde - FES-PE - Administração Direta;60011;4611;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Complementar;ENN0;33;50;Petrolândia;Atendimentos de saude ambulatorial e cirúrgico de crianças, jovens e adultos por intermédio do INSTITUTO BENEFICENTE VALE DO SÃO FRANCISCO - IBVASF, inscrito no CNPJ nº. 35.445.998/0001-12 ;300000,0;SIM;
D;Dep. Junior Matuto;Fundo Estadual de Saúde - FES-PE - Administração Direta;80090;4611;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Complementar;;33;50;Recife;Apoio aos procedimentos de média e alta complexidade, de forma complementar e suplementar à saúde pública, a ser executado pelo Instituto Carlos Carvalho - INSTITUTO VERITRA, inscrito sob o CNPJ: 07.621.798/0001-38.;250000,0;SIM;
D;Dep. Junior Matuto;Fundo Estadual de Saúde - FES-PE - Administração Direta;80092;4611;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Complementar;;33;50;Recife;Apoio aos procedimentos de média e alta complexidade, de forma complementar e suplementar à saúde pública, a ser executado pelo Instituto Carlos Carvalho - INSTITUTO VERITRA, inscrito sob o CNPJ: 07.621.798/0001-38.;230000,0;SIM;
O;Dep. Joaquim Lira;Secretaria de Desenvolvimento Agrário, Agricultura, Pecuária e Pesca - Administração Direta;70059;4782;Programa de Aquisição de Maquinário;ENPT;33;90;Vitória de Santo Antão;Aquisição pela Secretaria de Desenvolvimento Agrário, agricultura, pecuária e pesca de uma grade de aradora hidráulica e microtratores com enxada rotativa, para doação ao INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE PERNAMBUCO - IFPE, Campus Vitória de Santo Antão, inscrita no CNPJ nº 10.767.239/0004-98.;60000,0;SIM;
O;Dep. Joaquim Lira;Secretaria de Desenvolvimento Agrário, Agricultura, Pecuária e Pesca - Administração Direta;80037;4782;Programa de Aquisição de Maquinário;;44;50;Caruaru;Aquisição pela Secretaria de Desenvolvimento Agrário e posterior doação de uma Plantadeira e uma Colhedora de forragem com cardan ao ASSOCIAÇÃO DOS PLANTADORES DE BATATINHA E MANDIOCA DE CARUARU, CNPJ nº. 08.863.052/0001-01, com o objetivo de fortalecimento da agricultura no município de Caruaru;80000,0;SIM;
D;Dep. Joaquim Lira;Secretaria de Desenvolvimento Agrário, Agricultura, Pecuária e Pesca - Administração Direta;80037;4782;Programa de Aquisição de Maquinário;;44;50;Caruaru;Aquisição pela Secretaria de Desenvolvimento Agrário e posterior doação de uma Plantadeira e uma Colhedora de forragem com cardan ao ASSOCIAÇÃO DOS PLANTADORES DE BATATINHA E MANDIOCA DE CARUARU, CNPJ nº. 08.863.052/0001-01, com o objetivo de fortalecimento da agricultura no município de Caruaru;80000,0;SIM;
D;Dep. Joaquim Lira;Secretaria de Desenvolvimento Agrário, Agricultura, Pecuária e Pesca - Administração Direta;80056;4782;Programa de Aquisição de Maquinário;;44;90;Vitória de Santo Antão;Aquisição pela Secretaria de Desenvolvimento Agrário, agricultura, pecuária e pesca de uma grade de aradora hidráulica e microtratores com enxada rotativa, para doação ao INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE PERNAMBUCO - IFPE, Campus Vitória de Santo Antão, inscrita no CNPJ nº 10.767.239/0004-98.;60000,0;SIM;
